,x,y,xerr,yerr
0,0.6571235,9.086422,0.06311691,0.183528
1,0.598592,9.068446,0.008605635,0.17606522
2,0.70256805,9.228925,0.011658779,0.17775837
3,0.61964774,8.925812,0.05394616,0.17511128
4,0.69100654,9.899996,0.006506057,0.16912122
5,0.68793404,8.390705,0.014192737,0.20313369
6,0.71394026,9.297986,0.031978056,0.17666055
7,0.67492133,9.23223,0.018859373,0.17194581
8,0.6691573,8.72835,0.05124398,0.1883314
9,0.5882103,9.129067,0.018775264,0.17410873
10,0.5258657,9.003088,0.051257484,0.1805879
11,0.53664196,9.455397,0.05459622,0.1738114
12,0.5784075,9.221821,0.0071665617,0.17094739
13,0.74741906,8.863001,0.0665976,0.17983367
14,0.81514406,9.071916,0.033029627,0.17116663
15,0.4357952,9.297693,0.03328252,0.17414404
16,0.8086912,9.911272,0.013983889,0.16881782
17,0.67645776,9.308175,0.020051582,0.17386095
18,0.5987426,9.050793,0.0066733146,0.17120758
19,0.5866371,8.716809,0.008155108,0.19714567
20,0.5815396,8.954464,0.010212527,0.19545846
21,0.62209123,9.58463,0.031521812,0.17346433
22,0.7709599,9.473462,0.069948405,0.17134455
23,0.6588451,9.273299,0.018231444,0.17571355
24,0.69327563,9.755918,0.023855055,0.17167042
25,0.63250697,9.829753,0.017797843,0.17050639
26,0.63568366,9.156314,0.013389071,0.17682473
27,0.44266787,9.275417,0.11546887,0.18192616
28,0.6109945,9.0377035,0.03480856,0.178262
29,0.68588006,9.726283,0.0303746,0.17059112
30,0.43851647,9.792564,0.086382456,0.17010817
31,0.60180545,9.365332,0.03692928,0.17117427
32,0.6261755,9.311503,0.053215213,0.1714731
33,0.61761594,9.358615,0.044051178,0.17231913
34,0.7474468,9.3193865,0.075629815,0.17155221
35,0.7835673,9.148035,0.070730984,0.1869324
36,0.3935687,9.462474,0.021155301,0.16994387
37,0.6466173,9.262688,0.010730174,0.17499016
38,0.68685144,9.610938,0.012278261,0.17266172
39,0.8014698,9.494924,0.0229012,0.16924033
40,0.577045,8.978773,0.020244505,0.17572175
41,0.56462955,8.896587,0.03495196,0.17898427
42,0.7040208,9.89655,0.0120883295,0.1689817
43,0.78750366,9.377397,0.08065256,0.17191209
44,0.6287035,9.253872,0.06407106,0.17460223
45,1.0018809,9.566386,0.048399143,0.17215389
46,0.6424594,8.803331,0.011589672,0.18841027
47,0.7382755,9.049135,0.013777362,0.1962073
48,0.8411998,9.606983,0.014643732,0.16993484
49,0.68989813,9.221923,0.0075908974,0.16934021
50,0.6678977,8.928565,0.019403903,0.17718592
51,0.620763,9.531318,0.0066081393,0.17081665
52,0.68153775,9.243604,0.012903649,0.1764496
53,0.6689443,9.320752,0.019142115,0.17009595
54,0.6446209,9.060494,0.018446542,0.1724415
55,0.67991203,9.404216,0.06480964,0.17065081
56,0.7489281,9.191634,0.051713314,0.17116435
57,0.6570217,9.728532,0.018848846,0.16951187
58,0.5874685,9.045252,0.027088432,0.17425068
59,0.70183307,9.0319805,0.1279639,0.18019322
60,0.6186007,8.996594,0.015499136,0.17668015
61,0.84103703,9.036355,0.03285296,0.17536223
62,0.69119376,9.436691,0.009685201,0.1717834
63,0.56851906,8.848065,0.078218535,0.19099034
64,0.6038413,8.727111,0.02097845,0.17514183
65,0.6183964,9.32718,0.08852906,0.1710253
66,0.6358717,9.470544,0.026883706,0.17126234
67,0.6039516,8.808866,0.015355766,0.17751682
68,0.75351304,8.932491,0.055429086,0.17595086
69,0.79388636,9.565789,0.029946677,0.1696108
70,0.80009973,9.665919,0.014568094,0.17471641
71,0.76530373,9.738913,0.018660316,0.17190853
72,0.7050477,9.414279,0.012746572,0.17391369
73,0.77585036,9.516407,0.01676436,0.1700879
74,0.44223118,8.791692,0.07469692,0.18649657
75,0.63787687,8.878902,0.014631206,0.17743075
76,0.7880565,9.143838,0.035298336,0.1835816
77,0.667723,9.235487,0.01352657,0.17212383
78,0.55609167,8.774795,0.0062817987,0.19610631
79,0.69504523,9.118821,0.014373203,0.18067011
80,0.64284927,9.495136,0.01398728,0.16939883
81,0.7500411,9.153376,0.009431315,0.1709382
82,0.6698392,9.564917,0.00997282,0.1698068
83,0.77476686,9.982252,0.016581139,0.17207529
84,0.68320286,9.669236,0.0076847505,0.17125747
85,0.9053029,9.423314,0.0064103436,0.16890986
86,0.6274566,9.316875,0.009369994,0.1705302
87,0.7004296,9.823747,0.008949285,0.1702096
88,0.6584575,9.7249975,0.0055404953,0.16867012
89,0.6683647,9.70088,0.013794851,0.1698552
90,0.6109991,8.9688015,0.0075089107,0.18107824
91,0.6429764,9.695282,0.0053712125,0.17086373
92,0.7290784,9.605395,0.0069633173,0.17083038
93,0.654049,9.2677765,0.012133091,0.17093597
94,0.64405924,9.327154,0.01872616,0.1687621
95,0.6640215,9.6191845,0.0054367334,0.16947867
96,0.6742886,9.298011,0.014300399,0.1717932
97,0.79286534,8.955712,0.007464351,0.17175585
98,0.52457726,8.534856,0.017491715,0.181483
99,0.5384602,8.201785,0.007862656,0.21402384
100,0.5482355,8.672666,0.010281391,0.17302331
101,0.56237495,8.408093,0.0070375185,0.19786142
102,0.5388902,8.185579,0.01955946,0.19162303
103,0.60042953,8.686829,0.013356601,0.17992361
104,0.6500933,9.36578,0.0062380377,0.16917351
105,0.5730495,8.619663,0.006197707,0.17343391
106,0.53693503,8.321259,0.02937449,0.18471248
107,0.61476195,9.211371,0.015654806,0.17088723
108,0.6654388,8.758209,0.008484628,0.17242551
109,0.55154234,8.876193,0.006629773,0.16928066
110,0.60543597,8.774633,0.0065906364,0.17112972
111,0.59850436,8.605471,0.0057913256,0.17665002
112,0.5526103,8.591155,0.015472466,0.17436199
113,0.54045355,8.676394,0.0052296934,0.17629126
114,0.5232183,8.875629,0.028827399,0.17085057
115,0.7186412,9.036141,0.011284837,0.17038788
116,0.49041325,8.2814245,0.0078030257,0.18188015
117,0.5474202,8.68663,0.005453954,0.17429282
118,0.48676303,8.889852,0.011675714,0.17511119
119,0.6158842,8.6822195,0.020927692,0.17442141
120,0.5812303,7.9810047,0.04724666,0.19453874
121,0.51204056,8.786179,0.004238586,0.19109036
122,0.628776,8.669089,0.010682735,0.17427266
123,0.54188013,8.477184,0.0074552926,0.18033394
124,0.5606415,8.559749,0.011005586,0.17758344
125,0.52095944,8.612782,0.010315287,0.18135849
126,0.6210485,8.469827,0.009943948,0.17683804
127,0.5077238,8.593751,0.011988126,0.18874472
128,0.56566167,9.204224,0.008692335,0.17128874
129,0.6681364,8.853238,0.008536337,0.17133151
130,0.5371499,8.967154,0.011595496,0.17089106
131,0.6660246,8.804734,0.010122661,0.17044407
132,0.54514647,8.583405,0.008203177,0.19890015
133,0.6808144,8.887247,0.03165115,0.17296077
134,0.53166735,8.276866,0.008542901,0.18828543
135,0.5638516,8.263564,0.01628057,0.18804124
136,0.8523852,9.304859,0.008074604,0.16921227
137,0.64297676,8.633658,0.013697979,0.18056029
138,0.5577082,8.493833,0.01108223,0.17853063
139,0.59131885,9.193141,0.0049811504,0.16892609
140,0.60581636,8.629886,0.01984582,0.17622201
141,0.4841965,8.236977,0.014969283,0.20568475
142,0.509404,8.197772,0.017294047,0.18016815
143,0.60102445,8.605152,0.008484482,0.18560983
144,0.5502249,8.144483,0.056290865,0.2016286
145,0.6102845,8.0660305,0.022842875,0.20663525
146,0.53200597,8.461519,0.010093691,0.1817911
147,0.5990623,8.7460985,0.0070274468,0.17339832
148,0.5312218,8.03205,0.01941602,0.19934845
149,0.60290045,8.720833,0.0147872465,0.1740719
150,0.54041725,8.718762,0.008563153,0.18373977
151,0.5759174,8.787152,0.03983112,0.17327407
152,0.5447766,8.780361,0.0055373893,0.17991379
153,0.5070966,7.984461,0.008023769,0.18527381
154,0.4747173,8.196213,0.06611917,0.20517342
155,0.542996,8.256053,0.02889052,0.2150209
156,0.6608031,8.756582,0.020737633,0.17377241
157,0.5038873,8.062322,0.023459459,0.19325711
158,0.63793063,8.422391,0.05035864,0.1864017
159,0.5158906,8.479916,0.018294796,0.18674286
160,0.6492024,8.134079,0.020415569,0.18690813
161,0.5387264,8.513724,0.010109661,0.18287225
162,0.52749693,8.583894,0.05149142,0.19504
163,0.6633691,8.217387,0.01832604,0.1799983
164,0.6478643,9.030151,0.019714508,0.17588681
165,0.5559106,8.428382,0.014294371,0.18843062
166,0.6866751,8.745473,0.01124223,0.17612623
167,0.57241756,8.391089,0.013328685,0.18785588
168,0.4960193,8.347869,0.009048186,0.19165291
169,0.6065651,8.437128,0.007271574,0.17463456
170,0.5796883,8.586819,0.016489767,0.17628247
171,0.5107478,8.524153,0.028684137,0.17649321
172,0.48374507,8.382007,0.015329544,0.19086231
173,0.6053056,8.64458,0.009102606,0.1774556
174,0.68323344,8.841988,0.012522336,0.17330097
175,0.57214165,8.627853,0.022194117,0.18185852
