# HRS index,OII,Hbeta,OIII,Halpha,NII,SII,SII,S/N(Ha),SN(Hbeta),C(Hbeta),sigma[C(Hbeta)]
1,0.41,0.17,0.07,1,0.37,0.25,0.17,50.64,11.91,1,0.13
2,0.48,0.22,0.09,1,0.32,0.2,0.14,108.46,31.77,0.64,0.05
4,-,-,-,-,-,-,-,-,-,-,-
5,0.65,0,0,1,0.89,0.62,0.52,12.78,-,-,-
10,0.84,0.28,0.24,1,0.24,0.21,0.14,91.33,34.49,0.28,0.05
11,0.4,0.22,0.12,1,0.27,0.25,0.18,84.19,25.35,0.64,0.06
12,0.86,0.25,0.32,1,0.18,0.24,0.18,97.14,33.1,0.46,0.05
13,0.67,0.2,0.04,1,0.39,0.21,0.16,48.13,12.7,0.79,0.12
16,0.19,0.27,0.09,1,0.34,0.22,0.18,29.71,11.01,0.34,0.14
17,0.57,0.25,0.21,1,0.28,0.18,0.13,60.67,20.61,0.44,0.07
18,0.63,0.26,0.22,1,0.43,0.23,0.17,36.03,12.86,0.4,0.12
19,0.63,0.28,0.09,1,0.29,0.18,0.12,64.43,23.99,0.29,0.07
20,0.98,0.27,0.4,1,0.15,0.15,0.09,47.33,16.93,0.34,0.09
21,0,0.19,0.14,1,0.27,0.33,0.27,25.12,6.51,0.85,0.23
23,0.35,0.14,0.12,1,0.49,0.28,0.22,39.86,7.72,1.3,0.19
24,0.41,0.22,0.07,1,0.41,0.19,0.14,63.23,18.96,0.64,0.08
25,0.35,0.19,0.09,1,0.35,0.21,0.15,83.29,21.02,0.86,0.07
26,0.75,0.2,0.21,1,0.25,0.27,0.2,71.32,19.42,0.79,0.08
27,0.66,0.26,0.16,1,0.28,0.17,0.12,93.56,32.79,0.41,0.05
28,0.57,0.24,0.13,1,0.28,0.2,0.13,97.68,32.07,0.52,0.05
29,0.62,0.23,0.18,1,0.25,0.26,0.2,71.77,22.43,0.56,0.07
30,0.53,0.23,0.12,1,0.31,0.25,0.17,61.59,18.88,0.56,0.08
31,1.09,0.26,0.57,1,0.11,0.16,0.11,66.24,23.26,0.41,0.07
32,-,-,-,-,-,-,-,1.54,0.09,-,-
33,0.54,0.28,0.09,1,0.39,0.24,0.2,38.8,14.53,0.29,0.11
34,0.99,0.07,0.01,1,0.42,0.34,0.26,25.6,2.38,2.31,0.62
35,-,-,-,-,-,-,-,-,-,-,-
36,0.23,0.19,0.08,1,0.59,0.19,0.15,87.43,21.98,0.85,0.07
37,0.81,0.26,0.07,1,0.46,0.2,0.16,49.92,17.58,0.39,0.09
38,1.28,0.25,0.35,1,0.14,0.23,0.16,63.14,21.45,0.44,0.07
39,1.16,0.23,0.15,1,0.27,0.24,0.17,43.84,13.83,0.59,0.11
40,1,0.27,0.29,1,0.2,0.19,0.14,54.97,20.17,0.34,0.08
42,0.28,0.22,0.02,1,0.4,0.21,0.14,48.46,14.09,0.64,0.11
44,0.79,0.25,0.56,1,0.13,0.14,0.1,184.71,62.81,0.46,0.02
47,1.27,0.27,0.34,1,0.16,0.2,0.13,26.73,9.83,0.35,0.16
48,0.24,0.24,0.08,1,0.37,0.19,0.14,51.76,16.8,0.52,0.09
50,0.29,0.2,0.04,1,0.37,0.16,0.12,86.03,22.87,0.78,0.07
51,0.59,0.22,0.14,1,0.27,0.24,0.16,103.86,30.37,0.65,0.05
52,1.38,0.27,0.46,1,0.44,0.24,0.17,30.74,11.13,0.35,0.14
53,0.56,0.17,0.07,1,0.36,0.23,0.16,61.36,14.4,1,0.1
55,0.36,0.25,0.07,1,0.36,0.19,0.14,61.08,20.69,0.45,0.07
56,0.26,0.12,0.05,1,0.42,0.23,0.18,62.51,10.53,1.53,0.14
57,0.51,0.25,0.02,1,0.36,0.16,0.12,51.3,17.45,0.45,0.09
58,1.03,0.27,0.26,1,0.27,0.25,0.17,56.72,20.6,0.34,0.08
59,0.76,0.15,0.1,1,0.49,0.33,0.27,27.13,5.41,1.19,0.28
60,0.2,0.15,0.26,1,0.62,0.23,0.19,26.32,5.45,1.22,0.27
61,1.3,0.3,0.55,1,0.15,0.21,0.15,64.89,22.01,0.2,0.07
62,0.55,0.26,0.33,1,0.2,0.21,0.14,51.79,18.07,0.4,0.09
63,0.2,0.21,0.02,1,0.4,0.21,0.18,28.55,7.93,0.73,0.19
64,0.54,0.12,0.18,1,0.31,0.33,0.25,30.6,5.07,1.54,0.29
65,0.45,0.28,0.39,1,0.17,0.19,0.13,71.92,26.89,0.3,0.06
66,0.51,0.21,0.11,1,0.31,0.21,0.15,86.7,24.84,0.71,0.06
67,1.32,0.29,0.48,1,0.13,0.17,0.12,85.58,33.25,0.25,0.05
68,0.79,0.23,0.75,1,0.08,0.11,0.08,103.2,31.62,0.58,0.05
69,2.68,0.48,0.31,1,0.61,0.38,0.28,4.93,3.19,0,-
70,0.63,0.29,0.44,1,0.14,0.19,0.13,67.61,26.91,0.23,0.06
72,0.78,0.23,0.75,1,0.08,0.11,0.08,98.33,29.88,0.57,0.05
73,0.2,0.18,0,1,0.45,0.23,0.13,19.51,4.79,0.92,0.31
74,0.49,0.26,0.17,1,0.35,0.14,0.1,84.94,30.22,0.41,0.05
75,0,0.27,0.09,1,0.29,0.28,0.2,14.61,5.29,0.36,0.29
76,1.04,0.33,0.78,1,0.08,0.12,0.08,42.95,19.09,0.05,0.08
77,0.5,0.18,0.02,1,0.41,0.18,0.14,47.59,11.32,0.93,0.13
78,1.06,0.24,0.3,1,0.17,0.24,0.18,62.51,19.84,0.5,0.08
79,0.55,0.29,0.63,1,0.07,0.13,0.09,43.39,16.82,0.23,0.09
80,0.59,0.25,0.07,1,0.34,0.22,0.14,42.19,14.13,0.45,0.11
81,-,-,-,-,-,-,-,1.54,0.09,-,-
83,1.08,0.24,0.41,1,0.18,0.21,0.15,76.77,24.96,0.51,0.06
84,0,0.28,0.11,1,0.46,0.21,0.16,28.38,10.57,0.29,0.15
85,0.28,0.17,0.06,1,0.48,0.24,0.16,37.93,8.48,1.02,0.18
86,0.54,0.26,0.17,1,0.2,0.2,0.13,32.54,11.45,0.4,0.14
87,2.81,0.13,0.2,1,0.83,0.13,0.12,6.04,1.04,-,1.43
88,0,0.22,0.1,1,0.5,0.2,0.18,33.9,9.89,0.65,0.15
89,1.91,0.26,0.3,1,0.18,0.25,0.18,37.34,12.98,0.39,0.12
90,-,-,-,-,-,-,-,1.6,1.72,-,-
91,0,0.15,0.07,1,0.53,0.34,0.23,10.8,2.25,1.18,0.66
92,0,0.2,0.16,1,0.32,0.26,0.17,18.34,4.98,0.76,0.3
94,0,0.18,0.16,1,0.3,0.2,0.21,12.33,2.93,0.92,0.51
95,0.52,0.12,0.08,1,0.38,0.33,0.26,36.67,5.85,1.53,0.25
96,0.06,0.19,0.05,1,0.36,0.18,0.11,45.09,11.33,0.84,0.13
97,0.65,0.01,0.12,1,0.7,0.15,0.11,5.69,0.06,5.13,22.74
98,0.65,0.17,0.15,1,0.24,0.25,0.18,44.43,10.25,1,0.15
99,0.2,0.29,0.12,1,0.27,0.2,0.13,42.09,16.6,0.22,0.09
100,-,-,-,-,-,-,-,0.5,0.08,-,-
102,0.19,0.22,0.04,1,0.32,0.13,0.09,76.25,22.22,0.62,0.07
103,-,-,-,-,-,-,-,0.83,0.1,-,-
106,-,-,-,-,-,-,-,3.31,0.92,-,-
107,0.8,0.2,0.11,1,0.42,0.34,0.27,14.1,3.82,0.78,0.4
108,0.17,0.19,0.04,1,0.34,0.28,0.19,38.43,10.06,0.86,0.15
109,0.38,0.1,0.13,1,0.47,0.41,0.34,17.2,2.22,1.79,0.66
110,1.03,0.27,0.41,1,0.15,0.2,0.14,90.44,32.72,0.33,0.05
111,-,-,-,-,-,-,-,2.29,-,-,-
112,0,0.25,0.02,1,0.9,0.39,0.15,4.09,1.36,0.46,1.13
113,-,-,-,-,-,-,-,1.27,-,-,-
114,0.67,0.23,0.05,1,0.39,0.14,0.09,61.74,19.13,0.58,0.08
115,1.25,0.09,0.08,1,0.67,0.35,0.29,11.93,1.5,1.95,0.98
116,-,-,-,-,-,-,-,0.11,-,-,-
118,1.36,0.32,0.83,1,0.08,0.13,0.08,71.87,31.37,0.09,0.05
119,2.67,0.11,0.06,1,0.62,0.28,0.19,14.64,2.19,1.64,0.68
121,2.32,0.09,0.02,1,0.53,0.37,0.31,17.54,2.09,1.94,0.71
122,0,0.27,0.04,1,0.36,0.09,0.06,39.07,14.11,0.34,0.11
124,0.74,0.2,0.06,1,0.28,0.2,0.16,15.86,4.31,0.78,0.35
127,0.09,0.14,0.16,1,0.49,0.24,0.18,18.66,3.47,1.3,0.43
128,-,-,-,-,-,-,-,3.85,1.12,-,-
129,-,-,-,-,-,-,-,2.27,0.94,-,-
130,0.7,0.33,0.13,1,0.24,0.23,0.15,33.41,14.97,0.04,0.11
132,0.95,0.26,0.46,1,0.06,0.06,0.2,29.76,10.51,0.4,0.15
133,0.61,0.26,0.23,1,0.19,0.25,0.17,52.22,17.98,0.4,0.09
134,-,-,-,-,-,-,-,3.4,-,-,-
135,-,-,-,-,-,-,-,1.5,0.45,-,-
136,-,-,-,-,-,-,-,3.16,-,-,-
137,-,-,-,-,-,-,-,0.59,1.59,-,-
139,1.11,0.3,0.39,1,0.15,0.07,0.32,44.84,18.46,0.19,0.09
140,-,-,-,-,-,-,-,0.19,-,-,-
141,1.55,0.2,0.03,1,0.5,0.17,0.11,15.95,4.23,0.78,0.36
142,0.61,0.16,0.21,1,0.21,0.21,0.29,33.17,7.06,1.1,0.21
143,1.16,0.24,0.44,1,0.21,0.22,0.15,77.62,25.61,0.51,0.06
144,0.68,0.22,0.99,1,0.45,0.31,0.25,69.56,20.86,0.63,0.07
145,0.94,0.28,0.27,1,0.18,0.19,0.12,37.5,14.37,0.28,0.11
146,2.05,0.11,0.1,1,0.3,0.32,0.22,32.06,4.87,1.64,0.3
147,0,0.1,0,1,0.52,0.53,0.41,10.66,1.51,1.79,0.98
148,0.66,0.24,0.21,1,0.19,0.24,0.16,44.37,14.58,0.51,0.11
149,0.81,0.05,0.02,1,0.39,0.22,0.19,18.5,1.22,2.79,1.2
151,0.78,0.24,0.05,1,0.3,0.18,0.14,21.37,6.93,0.5,0.22
152,0.63,0.24,0.1,1,0.42,0.17,0.13,47.67,15.2,0.52,0.1
153,0.26,0.29,0.05,1,0.32,0.2,0.14,40.95,16.29,0.24,0.1
154,0.81,0.32,0.16,1,0.2,0.19,0.12,19.25,8.24,0.09,0.19
156,-,-,-,-,-,-,-,3.82,-,-,-
157,0.6,0.26,0.18,1,0.25,0.19,0.13,82.53,28.81,0.41,0.05
158,1.24,0.28,0.55,1,0.09,0.18,0.11,43.39,16.26,0.29,0.1
159,0.3,0.11,0.05,1,0.45,0.21,0.21,26.25,3.93,1.65,0.38
160,0.4,0.15,0.05,1,0.48,0.22,0.24,25.99,5.37,1.2,0.28
161,-,-,-,-,-,-,-,2.29,1,-,-
162,-,-,-,-,-,-,-,2.36,2.13,-,-
163,1.48,0.05,0.25,1,1.3,0.75,0.69,9.62,0.63,2.79,2.32
164,-,-,-,-,-,-,-,0.42,1.74,-,-
165,0.48,0.22,0.16,1,0.24,0.27,0.19,54.23,15.9,0.65,0.1
166,-,-,-,-,-,-,-,0.04,1.6,-,-
167,0.13,0.14,0.03,1,0.46,0.23,0.16,14.76,2.7,1.3,0.55
168,0.96,0.26,0.67,1,0.09,0.18,0.11,74.9,26.6,0.4,0.06
169,0.69,0.25,0.28,1,0.34,0.22,0.23,13.43,4.48,0.44,0.34
170,1.31,0.28,0.61,1,1.14,0.74,0.63,7.99,3.07,0.28,0.51
171,0.44,0.22,0.05,1,0.31,0.19,0.12,57.81,16.87,0.65,0.09
172,0,0.05,0.07,1,0.42,0.16,0.15,19.14,1.34,2.78,1.09
173,0.67,0.13,0.18,1,0.79,0.43,0.33,16.36,2.78,1.41,0.53
174,-,-,-,-,-,-,-,1.17,-,-,-
175,-,-,-,-,-,-,-,0.91,1.66,-,-
177,0.66,0.18,0.1,1,0.33,0.15,0.35,31.74,7.79,0.93,0.19
179,-,-,-,-,-,-,-,0.06,1.25,-,-
180,-,-,-,-,-,-,-,2.81,1.7,-,-
182,0.58,0.19,0.14,1,0.51,0.15,0.36,22.52,5.78,0.85,0.26
183,-,-,-,-,-,-,-,1.42,1.44,-,-
184,-,-,-,-,-,-,-,3.42,-,-,-
185,0.66,0.05,0.08,1,0.83,0.39,0.34,7.68,0.53,2.79,2.74
187,0.32,0.25,0.15,1,0.28,0.2,0.16,66.19,22,0.45,0.07
188,0.95,0.17,0.1,1,0.28,0.24,0.19,21.63,5.04,1.01,0.3
189,0.27,0.25,0.07,1,0.25,0.2,0.13,65.45,22.18,0.44,0.07
190,1.03,0.17,0.01,1,0.53,0.16,0.11,15.54,3.5,0.99,0.43
191,0.69,0.26,0.37,1,0.22,0.26,0.19,46.28,16.32,0.39,0.1
192,0.22,0,0,1,0.52,0.51,0.5,6.97,-,-,-
193,1.23,0.28,0.15,1,0.18,0.18,0.11,50.95,19.35,0.27,0.08
194,0.72,0.19,0.18,1,0.25,0.26,0.17,25.65,6.51,0.85,0.23
195,-,-,-,-,-,-,-,1.46,-,-,-
196,0.78,0.28,0.26,1,0.19,0.17,0.11,36.53,13.86,0.29,0.11
197,0.6,0.14,0.1,1,0.72,0.24,0.57,18.46,3.56,1.3,0.42
198,0.55,0.28,0.16,1,0.24,0.27,0.2,26.72,10.06,0.29,0.16
199,0.75,0.27,0.07,1,0.26,0.21,0.14,52.48,18.8,0.32,0.08
201,0.59,0.1,0.04,1,0.51,0.24,0.2,24.29,3.12,1.79,0.47
203,1.02,0.25,0.57,1,0.1,0.16,0.11,119.81,39.92,0.46,0.04
204,0.72,0.29,0.01,1,0.42,0.18,0.14,26.95,10.62,0.24,0.15
205,0.39,0.17,0.11,1,0.43,0.25,0.2,38.34,8.94,1.02,0.17
206,0.47,0.21,0.02,1,0.3,0.16,0.11,117.75,34.12,0.71,0.04
207,0.09,0.22,0.03,1,0.34,0.23,0.15,31.9,9.54,0.62,0.16
208,0.12,0.29,0.11,1,0.67,0.2,0.23,8.11,3.16,0.22,0.5
210,3.54,0,1.16,1,0.81,1.19,0.9,5.8,-,-,-
211,-,-,-,-,-,-,-,0.52,0.79,-,-
212,1.11,0.27,0.65,1,0.12,0.19,0.14,86.03,31.9,0.34,0.05
215,0.59,0.17,0.02,1,0.35,0.13,0.11,35.61,8.03,1,0.19
216,0.62,0.12,0.01,1,0.4,0.17,0.13,51.55,8.42,1.51,0.18
217,3.19,0.07,0.24,1,0.73,0.24,0.29,8.54,0.85,2.27,1.74
220,4.81,0.24,0.34,1,1.12,0.56,0.42,11.86,3.79,0.49,0.41
221,0,0.18,0.02,1,0.35,0.14,0.11,13.32,3.17,0.93,0.47
222,0.09,0.19,0.03,1,0.35,0.2,0.17,13.31,3.33,0.83,0.45
223,0.85,0.21,0.34,1,0.17,0.15,0.28,19.27,5.53,0.7,0.27
224,-,-,-,-,-,-,-,2.24,-,-,-
225,2.16,0.32,0.56,1,0.12,0.14,0.08,12.13,5.19,0.08,0.31
227,1.11,0.28,0.39,1,0.15,0.23,0.16,93.98,34.96,0.29,0.04
229,-,-,-,-,-,-,-,2.69,1.97,-,-
230,1.12,0.29,0.16,1,0.23,0.18,0.11,30.13,11.64,0.22,0.13
231,-,-,-,-,-,-,-,2.71,2.26,-,-
232,0.11,0.14,0.1,1,0.54,0.31,0.23,15.58,2.87,1.29,0.52
233,0,0.11,0.06,1,0.42,0.29,0.22,28.32,4.25,1.64,0.35
234,-,-,-,-,-,-,-,0.64,1.87,-,-
236,-,-,-,-,-,-,-,0.42,1.1,-,-
237,0.35,0.28,0.05,1,0.28,0.17,0.11,83.99,31.34,0.28,0.05
238,1.47,0.34,0.43,1,0.14,0.23,0.18,22.95,10.54,0,0.15
239,0.42,0.18,0.07,1,0.4,0.22,0.15,48.2,11.94,0.93,0.13
240,-,-,-,-,-,-,-,0.84,1.05,-,-
242,0.53,0.23,0.15,1,0.45,0.19,0.13,24.47,7.5,0.57,0.2
244,0.37,0.2,0,1,0.3,0.13,0.08,46.09,12.35,0.78,0.12
245,-,-,-,-,-,-,-,0.62,1.78,-,-
246,0.64,0.29,0.1,1,0.42,0.21,0.15,26.67,10.52,0.23,0.15
247,0.27,0.22,0.08,1,0.31,0.18,0.11,46.49,13.64,0.64,0.11
248,-,-,-,-,-,-,-,0.64,1.77,-,-
249,-,-,-,-,-,-,-,2.26,-,-,-
251,0.19,0.12,0.08,1,0.42,0.23,0.23,47.42,7.55,14.47,0.2
252,1.32,0.3,0.44,1,0.17,0.19,0.13,67.59,27.33,0.19,0.06
254,0.39,0.18,0.03,1,0.33,0.15,0.13,28.16,6.84,0.93,0.22
257,2.51,0.29,0.93,1,1.43,0.77,0.57,4.91,1.94,0.23,0.81
259,0.63,0.22,0.17,1,0.26,0.17,0.19,33,9.7,0.63,0.16
260,0.25,0,0,1,0.85,0.57,0.63,6.66,-,-,-
261,0.45,0.18,0.11,1,0.32,0.29,0.23,29.05,7.26,0.92,0.21
262,1.38,0.34,0.38,1,0.13,0.14,0.08,34.65,15.92,0,0.1
263,-,-,-,-,-,-,-,3.21,1.5,-,-
264,0.65,0.13,0.08,1,0.34,0.39,0.33,18.15,3.31,1.4,0.45
265,0.48,0.27,0.49,1,0.13,0.16,0.11,96.55,34.81,0.34,0.04
266,0.59,0.25,0.19,1,0.22,0.24,0.16,69.94,23.18,0.44,0.07
267,0.54,0.19,0.3,1,0.2,0.18,0.13,153.31,39.88,0.87,0.04
268,0.45,0.14,0.13,1,0.45,0.22,0.26,26.04,4.89,1.28,0.3
269,-,-,-,-,-,-,-,0.76,1.33,-,-
270,-,-,-,-,-,-,-,2,-,-,-
271,-,0.21,0.2,1,0.2,0.29,0.2,59.38,17.18,0.7,0.09
272,-,-,-,-,-,-,-,2.26,0.43,-,-
273,1.39,0.17,0,1,0.48,0.27,0.2,23.15,5.29,1.02,0.28
274,-,-,-,-,-,-,-,1.12,0.97,-,-
275,-,-,-,-,-,-,-,-,0.97,-,-
277,1,0.19,0.02,1,0.52,0.3,0.22,19.62,4.91,0.84,0.31
278,0,0.03,0,1,0.51,0.43,0.35,12.29,0.45,3.52,3.24
280,0.24,0.2,0.06,1,0.41,0.22,0.17,41.28,11.41,0.76,0.13
281,0.68,0.24,0.15,1,0.32,0.27,0.18,34.3,11.07,0.49,0.14
282,-,-,-,-,-,-,-,0.79,1.38,-,-
283,0.49,0.17,0.12,1,0.23,0.27,0.15,46.83,10.72,1,0.14
284,0.25,0.07,0.03,1,0.41,0.31,0.25,33.43,3.15,2.29,0.47
285,-,-,-,-,-,-,-,2.52,-,-,-
286,-,-,-,-,-,-,-,2.35,0.8,-,-
287,0.55,0.23,0.11,1,0.32,0.25,0.17,42.94,13.05,0.56,0.12
288,2.8,0.21,0.7,1,0.97,0.32,0.35,12.02,3.45,0.69,0.44
289,0.31,0.17,0.05,1,0.46,0.23,0.17,37.16,8.55,0.99,0.18
290,0.59,0.22,0.17,1,0.31,0.19,0.14,83.62,24.37,0.66,0.06
291,-,-,-,-,-,-,-,2.98,2.93,-,-
292,0.22,0.11,0.01,1,0.43,0.18,0.14,62.66,9.3,1.67,0.16
293,0.12,0.28,0.29,1,0.19,0.18,0.12,108.24,40.27,0.28,0.04
294,0.21,0.2,0.09,1,0.31,0.29,0.2,64.2,16.93,0.8,0.09
295,-,-,-,-,-,-,-,0.56,0.65,-,-
297,1.04,0.2,0.15,1,0.31,0.26,0.2,35.21,9.61,0.79,0.16
298,0.68,0.25,0.23,1,0.26,0.15,0.1,109.33,37.28,0.47,0.04
299,1.41,0.21,0.05,1,0.35,0.26,0.19,23.67,6.7,0.71,0.23
300,1.42,0.11,0.2,1,0.66,0.47,0.38,8.45,1.28,1.66,1.16
301,0.59,0.26,0.15,1,0.36,0.29,0.21,19.8,6.83,0.37,0.23
302,0.95,0.22,0.18,1,0.18,0.24,0.16,27.7,8.4,0.63,0.18
303,0.35,0.24,0.1,1,0.35,0.21,0.15,121.93,40.09,0.53,0.04
304,0.43,0.12,0,1,0.44,0.29,0.21,17.59,2.74,1.52,0.54
305,1.13,0.26,0.06,1,0.31,0.22,0.16,49.2,17.3,0.39,0.09
308,0.2,0.24,0.2,1,0.21,0.27,0.2,17.02,5.59,0.5,0.28
309,1.86,0.34,0.5,1,0.08,0.15,0.08,25.51,11.75,0.01,0.14
310,0.39,0.2,0.05,1,0.38,0.22,0.17,47.31,12.64,0.77,0.12
313,0.29,0.22,0.1,1,0.3,0.3,0.23,26.16,7.77,0.62,0.2
314,1.27,0.29,0.51,1,0.12,0.16,0.11,32.6,12.71,0.23,0.12
315,0.76,0.28,0.77,1,0.08,0.14,0.1,94.19,35.41,0.31,0.04
317,1.08,0.2,0.21,1,0.28,0.25,0.16,33.74,8.93,0.77,0.17
318,0.87,0.27,0.37,1,0.18,0.24,0.16,81.31,29.25,0.34,0.05
319,0.71,0.25,0.29,1,0.24,0.25,0.19,47.61,15.81,0.45,0.1
320,1.56,0.28,0.23,1,0.19,0.21,0.15,35.6,13.5,0.27,0.12
321,0.74,0.27,0.19,1,0.26,0.2,0.15,104.18,37.28,0.32,0.04
323,1,0.12,0.03,1,0.42,0.36,0.28,31.02,4.99,1.5,0.3
